index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
165,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.4588
166,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.4588
167,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.5243
168,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
169,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1966
170,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
171,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.8520
172,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
173,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.8520
174,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.3932
175,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
176,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
177,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.5243
178,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
179,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.9830
180,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.3277
181,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
182,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
183,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.4588
184,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.3932
185,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.9830
186,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
187,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
188,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
189,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.7864
190,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
191,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.8520
192,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
193,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
194,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0655
195,backward,pw_bwd,"pw_bwd 256->256 @16x16",8,8,3,192,0.3277
196,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0000
197,backward,se_bwd,"se_bwd c256 mid64 @16x16",1,1,3,3,0.5898
198,backward,spatial_bwd,"spatial_bwd k7s2 128<-256 g128 @32x32",16,128,3,6144,1.0486
199,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0655
200,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.4588
201,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.6554
202,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.9175
203,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,1.1141
204,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1966
205,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.1311
206,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.9175
207,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.5898
208,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.8520
209,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,1.7695
210,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1966
211,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.1311
212,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.5898
213,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.4588
214,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.5243
215,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,1.7039
216,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1311
217,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0655
218,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.7864
219,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.3277
220,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,1.1141
221,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,1.1141
222,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1966
223,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0655
224,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.7864
225,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.5243
226,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.8520
227,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.8520
228,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1966
229,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.1311
230,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.5243
231,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.6554
232,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.5243
233,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,1.1796
234,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1311
235,backward,gelu_bwd,"gelu_bwd n131072",512,1,3,1536,0.2621
236,backward,pw_bwd,"pw_bwd 128->128 @32x32",32,4,3,384,0.7209
237,backward,gelu_bwd,"gelu_bwd n131072",512,1,3,1536,0.1311
238,backward,spatial_bwd,"spatial_bwd k7s2 64<-128 g64 @64x64",64,64,3,12288,2.9491
239,backward,residual_bwd,"residual_bwd n262144",1024,1,3,3072,0.1311
240,backward,pw_bwd,"pw_bwd 64->192 @64x64",128,6,3,2304,1.1141
241,backward,gelu_bwd,"gelu_bwd n786432",3072,1,3,9216,0.3932
242,backward,pw_bwd,"pw_bwd 192->64 @64x64",128,2,3,768,1.1796
243,backward,spatial_bwd,"spatial_bwd k7s1 64<-64 g64 @64x64 +=",64,64,3,12288,1.7039
244,backward,spatial_bwd,"spatial_bwd k3s1 64<-64 g64 @64x64",64,64,3,12288,0.4588
245,backward,residual_bwd,"residual_bwd n262144",1024,1,3,3072,0.0655
246,backward,pw_bwd,"pw_bwd 64->192 @64x64",128,6,3,2304,0.8520
247,backward,gelu_bwd,"gelu_bwd n786432",3072,1,3,9216,0.7864
248,backward,pw_bwd,"pw_bwd 192->64 @64x64",128,2,3,768,0.9830
249,backward,spatial_bwd,"spatial_bwd k7s1 64<-64 g64 @64x64 +=",64,64,3,12288,1.3107
250,backward,spatial_bwd,"spatial_bwd k3s1 64<-64 g64 @64x64",64,64,3,12288,0.3932
251,backward,gelu_bwd,"gelu_bwd n262144",1024,1,3,3072,0.3277
252,backward,pw_bwd,"pw_bwd 64->64 @64x64",128,2,3,768,0.1966
253,backward,gelu_bwd,"gelu_bwd n262144",1024,1,3,3072,0.5898
254,backward,spatial_bwd,"spatial_bwd k3s2 64<-64 g64 @128x128",256,64,3,49152,0.7209
255,backward,gelu_bwd,"gelu_bwd n1048576",4096,1,3,12288,0.9830
256,backward,spatial_bwd,"spatial_bwd_stem4 k3s2 3<-64 g1 @256x256",256,3,3,2304,1.9005
